hostname_length,path_length,double_slash_in_path,is_https,has_ip,subdomain_cnt,suspicious_tokens,has_at,hyphen_count,digit_count,entropy,domain_age_days,ssl_days_left,has_login_form,num_inputs,num_iframes,num_scripts,meta_refresh,suspicious_js,ext_favicon,label,url_source
14,0,0,1,0,1,0,0,0,0,3.663532754804255,10304,48,0,9,0,6,0,0,0,0,https://www.google.com
29,0,0,0,0,1,0,0,2,1,4.218128820706466,-1,-999,0,0,0,0,0,0,0,1,http://www.go0gle-security-check.com
20,0,0,1,0,1,0,0,0,1,4.012188403968661,-1,89,0,0,0,0,0,0,0,0,https://www.maybank2u.com.my
26,0,0,0,0,0,2,0,2,1,4.559545634509969,-1,-999,0,0,0,0,0,0,0,1,http://maybank2u-secure-login.xyz
16,0,0,1,0,1,0,0,0,0,3.855388542207536,10474,7,0,0,0,1,0,0,0,0,https://www.facebook.com
27,0,0,0,0,0,2,0,2,2,4.219528282299548,-1,-999,0,0,0,0,0,0,0,1,http://faceb00k-verify-account.net
21,0,0,1,0,1,0,0,0,0,3.814371943179628,-1,195,0,0,0,12,0,0,0,0,https://www.cimbclicks.com.my
23,6,0,0,0,0,2,0,2,0,4.231746181697385,-1,-999,0,0,0,0,0,0,0,1,http://cimb-update-profile.com/login
14,0,0,1,0,1,0,0,0,0,3.697845823084412,11353,323,0,3,0,3,0,0,0,0,https://www.amazon.com
22,0,0,0,0,0,0,0,2,1,4.116264615668023,-1,-999,0,0,0,0,0,0,0,1,http://amaz0n-prime-gift.shop
17,0,0,1,0,1,0,0,0,0,3.813660689688185,9088,37,0,3,0,4,0,0,0,0,https://www.wikipedia.org
21,6,0,0,0,0,1,0,2,0,4.219528282299547,-1,-999,0,0,0,0,0,0,0,1,http://wiki-pedia-secure.org/admin
23,0,0,1,0,1,0,0,0,0,3.84888461662912,-1,249,0,51,2,59,1,0,0,0,https://www.hongleongconnect.my
25,0,0,0,0,0,1,0,2,0,4.015319531114783,-1,-999,0,0,0,0,0,0,0,1,http://hongleong-bank-alert.info
17,0,0,1,0,1,0,0,0,0,3.623465189601647,-1,137,0,0,1,17,0,0,0,0,https://www.shopee.com.my
27,0,0,0,0,0,1,0,3,0,3.814397767275508,-1,-999,0,0,0,0,0,0,0,1,http://shopeee-my-free-voucher.top
21,0,0,1,0,1,0,0,0,0,4.116264615668023,-1,-999,0,3,0,12,0,0,0,0,https://www.publicbank.com.my
23,0,0,0,0,0,1,0,2,0,4.189898095464287,-1,-999,0,0,0,0,0,0,0,1,http://pbebank-login-reset.com
15,0,0,1,0,1,0,0,0,0,3.936180434129756,10247,276,0,2,0,6,0,0,1,0,https://www.netflix.com
28,0,0,0,0,0,1,0,2,0,3.8944464184057193,-1,-999,0,0,0,0,0,0,0,1,http://netflix-payment-declined.net
17,0,0,1,0,1,0,0,0,0,3.673269689515109,12632,227,0,1,0,6,0,0,0,0,https://www.microsoft.com
29,0,0,0,0,0,0,0,3,0,4.041336376912015,-1,-999,0,0,0,0,0,0,0,1,http://micro-soft-support-center.biz
15,0,0,1,0,1,0,0,0,0,3.621175542919472,-1,147,0,0,0,1,1,0,0,0,https://www.kwsp.gov.my
29,0,0,0,0,0,1,0,3,0,4.363826390090814,-1,-999,0,0,0,0,0,0,0,1,http://kwsp-epf-withdrawal-bonus.com
15,0,0,1,0,1,0,0,0,0,3.762267390651495,7594,48,0,0,1,42,0,0,0,0,https://www.youtube.com
24,0,0,0,0,0,1,0,2,0,3.9134007456613777,-1,-999,0,0,0,0,0,0,0,1,http://youtube-premium-free.com
21,33,0,1,0,1,0,0,0,9,4.735666068102447,9244,277,0,0,0,17,0,0,0,0,https://help.steampowered.com/en/faqs/view/3195-9FFB-BA06-F25B
14,62,0,1,0,1,1,0,0,8,4.862821447599536,11353,323,0,3,0,3,0,0,0,0,https://www.amazon.com/Sony-WH-1000XM5-Canceling-Headphones-Hands-Free/dp/B09XS7JWHH
15,41,0,1,0,1,0,0,0,2,4.826235413615311,7594,48,0,0,1,51,0,0,0,0,https://www.youtube.com/watch?v=dQw4w9WgXcQ&ab_channel=RickAstley
28,19,0,0,0,0,0,0,2,3,4.519164243770868,-1,-999,0,0,0,0,0,0,0,1,http://steam-community-giveaway.com/claim-id-9FFB-BA06
28,7,0,0,0,0,1,0,3,4,4.474952541517315,-1,-999,0,0,0,0,0,0,0,1,http://amazon-support-case-8219.com/verify
33,14,0,0,0,0,1,0,3,2,4.581108280214319,-1,-999,0,0,0,0,0,0,0,1,http://youtube-video-download-secure.com/v-dQw4w9WgXcQ
3,0,0,0,0,0,0,0,0,0,2.9219280948873623,-1,-999,0,0,0,0,0,0,0,label,url
14,86,0,1,0,1,0,0,0,10,4.881258197571039,11353,319,0,3,0,3,0,0,0,0,https://www.amazon.com/All-New-Echo-Dot-5th-Gen-2022-Release-Smart-Speaker-with-Alexa-Charcoal/dp/B09B8V1LZ3
14,93,0,1,0,1,0,0,0,0,4.423227726413937,10304,48,0,0,0,5,1,1,0,0,https://www.google.com/search?q=machine+learning+datasets+for+phishing+detection&oq=machine+learning&sourceid=chrome
15,67,0,1,0,1,0,0,0,8,4.3810308366423,11640,103,0,0,0,2,0,0,0,0,https://www.nytimes.com/2023/11/15/technology/personaltech/how-to-spot-phishing-scams.html
10,47,0,1,0,0,0,0,0,0,4.251053537493573,6627,66,0,8,0,78,0,0,1,0,https://github.com/whitecat-ww/fyp/tree/main/phishing_project/src
