hostname_length,path_length,double_slash_in_path,has_ip,subdomain_cnt,suspicious_tokens,has_at,hyphen_count,digit_count,entropy,domain_age_days,ssl_days_left,has_login_form,num_inputs,num_iframes,num_scripts,meta_refresh,suspicious_js,ext_favicon,label_encoded
48,1,0,0,3,0,0,0,4,4.229878200135508,-1,-999,0,0,0,0,0,0,0,1
24,54,0,0,0,0,0,0,4,4.1207054974473065,-1,-999,0,0,0,0,0,0,0,1
25,22,0,0,1,0,0,0,0,4.094725641205236,-1,-999,0,0,0,0,0,0,0,1
27,152,0,0,1,1,0,2,14,4.90568855877434,-1,-999,0,0,0,0,0,0,0,1
20,57,0,0,0,0,0,0,0,4.191624537985203,-1,51,0,9,0,57,0,0,0,1
20,30,0,0,0,0,0,0,0,4.059771551343023,-1,-999,0,0,0,0,0,0,0,1
7,5,0,0,0,0,0,0,2,3.576617644908666,-1,-999,0,0,0,1,1,0,0,1
24,28,0,0,0,2,0,1,0,4.07509723725855,-1,88,0,0,0,1,1,0,0,1
15,32,0,0,0,2,0,0,1,4.372865456180308,-1,-999,0,0,0,0,0,0,0,1
18,9,0,0,1,0,0,0,0,3.8810054880546376,-1,-999,0,0,0,0,0,0,0,1
15,190,0,0,0,1,0,0,104,4.580490346160308,-1,-999,0,0,0,0,0,0,0,1
28,33,0,0,0,1,0,0,7,4.524172215900367,-1,-999,0,0,0,0,0,0,0,1
13,24,0,0,0,0,0,0,0,3.9053284275553932,-1,-999,0,0,0,0,0,0,0,1
23,25,0,0,0,0,0,0,0,4.130394443081978,-1,-999,0,0,0,0,0,0,0,1
19,168,0,0,0,2,0,0,38,4.997510355023656,-1,-999,0,0,0,0,0,0,0,1
15,78,0,0,1,0,0,0,3,5.136778285496864,-1,62,0,0,0,0,0,0,0,1
20,75,0,0,1,2,0,0,1,4.371468759621037,-1,-999,0,0,0,0,0,0,0,1
11,26,0,0,0,0,0,0,0,3.9428621651554665,-1,-999,0,0,0,1,0,0,0,1
9,215,0,0,0,1,0,0,58,5.046608107554679,-1,-999,0,0,0,0,0,0,0,1
28,26,1,0,1,1,0,0,0,4.141104258039152,-1,-999,0,0,0,0,0,0,0,1
